Nation,Year,GDP_Growth,GDP_Per_Capita,GDP,GDP_Normalized,Pop,Pop_Normalized,Area,Pop_Growth,Athletes,Athletes_Normalized,Medals_Last_Games,Total_Medals_year,Medals
Morocco,1988,11.87523598,1.6844088149999998,0.040604894539,6.6737252931220965,0.023903592,2.0574609840501874,0.44655,1.927543801,27,0.0034368635437881873,2.0,742,3
Spain,1992,0.929215549,23.12767603,0.906,224.36646490109473,0.039157685,2.7032246489017395,0.50599,0.489757905,378,0.04323458767013611,4.0,826,22
Spain,2012,-2.959441302,29.235828689999998,1.37,110.44933024667314,0.046773055,1.5009945324622378,0.50594,0.064925963,234,0.023953321732009415,18.0,962,17
Spain,2000,5.24599468,28.408806769999998,1.15,165.85646762946178,0.040567864,1.952259661030032,0.505,0.447137015,291,0.02960325534079349,17.0,925,11
Spain,1996,2.6605244530000003,24.26773618,0.968,163.40871133649784,0.039889852,2.115786739574328,0.50599,0.416515798,241,0.025211842242912442,22.0,841,17
Spain,2008,0.887145182,32.07276459,1.47,132.10130247583308,0.045954106,1.6576599266236294,0.50537,1.595330499,234,0.0232650626367071,20.0,963,18
Spain,2016,3.03130133,31.44928417,1.46,108.42599127679036,0.046484062,1.3137352356185128,0.505935,0.08443015,280,0.026993155307047142,17.0,973,17
Spain,2004,3.122795242,30.445748860000002,1.31,149.8874031468119,0.042921895,1.73585325877097,0.50537,1.725466303,310,0.03192584963954686,11.0,927,20
Spain,1988,5.094324298,20.747180630000006,0.804,132.14355551438678,0.038766939,3.3367982713038944,0.50599,0.212064999,229,0.02914969450101833,5.0,742,4
Bulgaria,1992,-7.272387998999998,4.086269054,0.034897407869,8.642172227129333,0.008540164,0.5895645217653515,0.11099,-1.073853191,138,0.015784055816081437,35.0,826,16
Bulgaria,2012,0.356586983,7.083598787000001,0.051751979376,4.172241942349519,0.007305888,0.2344533181076471,0.111,-0.579220596,63,0.006448971235540997,5.0,962,2
Bulgaria,2000,4.7820435230000005,3.984665968,0.032555406324,4.695238865339548,0.008170172,0.3931756727264975,0.11099,-0.493896417,91,0.00925737538148525,15.0,925,13
Bulgaria,1996,5.13891551,4.526653915999998,0.037855619063,6.390431743729536,0.008362826,0.4435703686282772,0.11099,-0.51572988,105,0.010984412595459776,16.0,841,15
Bulgaria,2008,6.085627607,6.920388954000001,0.051851436379,4.659620599257616,0.007492561,0.2702722171873623,0.111,-0.701922745,70,0.006959634122091867,12.0,963,5
Bulgaria,2016,3.82043453,8.012511208,0.057111753665,4.241368838824308,0.007127822,0.20144691560339156,0.111,-0.701382098,47,0.004530993926540056,2.0,973,3
Bulgaria,2004,6.441859462999999,5.193913461,0.040080703028,4.5859484680652525,0.00771686,0.3120863274671201,0.111,-0.754796951,90,0.009268795056642637,13.0,927,12
Bulgaria,1988,10.94469206,5.207205091,0.04676823134,7.686716883565885,0.008981446,0.7730626729804301,0.11099,0.112372424,167,0.021257637474541752,0.0,742,35
